label,seed,variant,algo,role,status,config_exists,model_exists,n_envs,timesteps,use_risk_reward,use_action_guard,target_speed_kmh,ttc_threshold,run_dir,config_json,model,ijmlc_missing_metrics,next_action
wo_ttc,2,proposed_wo_ttc,ppo,component_ablation,formal_reusable,True,True,16,1000000,True,True,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_ttc_nenv16_seed2_1m/runs/proposed_wo_ttc_ppo_s2,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_ttc_nenv16_seed2_1m/runs/proposed_wo_ttc_ppo_s2/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_ttc_nenv16_seed2_1m/runs/proposed_wo_ttc_ppo_s2/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
wo_lane,0,proposed_wo_lane,ppo,component_ablation,formal_reusable,True,True,16,1000000,True,True,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_lane_nenv16_seed0_1m/runs/proposed_wo_lane_ppo_s0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_lane_nenv16_seed0_1m/runs/proposed_wo_lane_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_lane_nenv16_seed0_1m/runs/proposed_wo_lane_ppo_s0/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
wo_lane,1,proposed_wo_lane,ppo,component_ablation,formal_reusable,True,True,16,1000000,True,True,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_lane_nenv16_seed1_1m/runs/proposed_wo_lane_ppo_s1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_lane_nenv16_seed1_1m/runs/proposed_wo_lane_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_lane_nenv16_seed1_1m/runs/proposed_wo_lane_ppo_s1/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
wo_lane,2,proposed_wo_lane,ppo,component_ablation,formal_reusable,True,True,16,1000000,True,True,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_lane_nenv16_seed2_1m/runs/proposed_wo_lane_ppo_s2,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_lane_nenv16_seed2_1m/runs/proposed_wo_lane_ppo_s2/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_lane_nenv16_seed2_1m/runs/proposed_wo_lane_ppo_s2/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
wo_smooth,0,proposed_wo_smooth,ppo,component_ablation,formal_reusable,True,True,16,1000000,True,True,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_smooth_nenv16_seed0_1m/runs/proposed_wo_smooth_ppo_s0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_smooth_nenv16_seed0_1m/runs/proposed_wo_smooth_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_smooth_nenv16_seed0_1m/runs/proposed_wo_smooth_ppo_s0/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
wo_smooth,1,proposed_wo_smooth,ppo,component_ablation,formal_reusable,True,True,16,1000000,True,True,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_smooth_nenv16_seed1_1m/runs/proposed_wo_smooth_ppo_s1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_smooth_nenv16_seed1_1m/runs/proposed_wo_smooth_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_smooth_nenv16_seed1_1m/runs/proposed_wo_smooth_ppo_s1/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
wo_smooth,2,proposed_wo_smooth,ppo,component_ablation,formal_reusable,True,True,16,1000000,True,True,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_smooth_nenv16_seed2_1m/runs/proposed_wo_smooth_ppo_s2,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_smooth_nenv16_seed2_1m/runs/proposed_wo_smooth_ppo_s2/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_smooth_nenv16_seed2_1m/runs/proposed_wo_smooth_ppo_s2/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
gated_risk,0,proposed_gated_risk,ppo,refinement,formal_reusable,True,True,16,1000000,True,True,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
gated_risk,1,proposed_gated_risk,ppo,refinement,formal_reusable,True,True,16,1000000,True,True,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
gated_risk,2,proposed_gated_risk,ppo,refinement,formal_reusable,True,True,16,1000000,True,True,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/gated_risk_proposed_nenv16_seed2_1m/runs/proposed_gated_risk_ppo_s2,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/gated_risk_proposed_nenv16_seed2_1m/runs/proposed_gated_risk_ppo_s2/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/gated_risk_proposed_nenv16_seed2_1m/runs/proposed_gated_risk_ppo_s2/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
retuned_full,0,proposed,ppo,full_candidate,formal_reusable,True,True,16,1000000,True,True,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
retuned_full,1,proposed,ppo,full_candidate,formal_reusable,True,True,16,1000000,True,True,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed1_1m/runs/proposed_ppo_s1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed1_1m/runs/proposed_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed1_1m/runs/proposed_ppo_s1/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
retuned_full,2,proposed,ppo,full_candidate,formal_reusable,True,True,16,1000000,True,True,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
