label,seed,axis,value,status,start_time,end_time,exit_code,run_id,raw_csv,summary_csv,log_path
shield_only,1,ttc_threshold,8,done,2026-07-01T18:36:35+08:00,2026-07-01T18:47:06+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_8_shield_only_s1,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_8_shield_only_s1_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_8_shield_only_s1_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_8_shield_only_s1.log
shield_only,1,ttc_threshold,12,done,2026-07-01T18:36:55+08:00,2026-07-01T18:47:38+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_12_shield_only_s1,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_12_shield_only_s1_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_12_shield_only_s1_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_12_shield_only_s1.log
shield_only,0,target_speed_kmh,15,done,2026-07-01T18:35:44+08:00,2026-07-01T18:47:48+08:00,0,p5_sensitivity_20260701_1825_target_speed_kmh_15_shield_only_s0,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_target_speed_kmh_15_shield_only_s0_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_target_speed_kmh_15_shield_only_s0_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_target_speed_kmh_15_shield_only_s0.log
shield_only,0,target_speed_kmh,18,done,2026-07-01T18:35:45+08:00,2026-07-01T18:47:51+08:00,0,p5_sensitivity_20260701_1825_target_speed_kmh_18_shield_only_s0,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_target_speed_kmh_18_shield_only_s0_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_target_speed_kmh_18_shield_only_s0_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_target_speed_kmh_18_shield_only_s0.log
shield_only,1,ttc_threshold,10,done,2026-07-01T18:36:55+08:00,2026-07-01T18:48:38+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_10_shield_only_s1,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_10_shield_only_s1_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_10_shield_only_s1_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_10_shield_only_s1.log
shield_only,2,ttc_threshold,6,done,2026-07-01T18:44:36+08:00,2026-07-01T18:53:48+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_6_shield_only_s2,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_6_shield_only_s2_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_6_shield_only_s2_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_6_shield_only_s2.log
shield_only,1,target_speed_kmh,22,done,2026-07-01T18:44:21+08:00,2026-07-01T18:53:48+08:00,0,p5_sensitivity_20260701_1825_target_speed_kmh_22_shield_only_s1,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_target_speed_kmh_22_shield_only_s1_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_target_speed_kmh_22_shield_only_s1_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_target_speed_kmh_22_shield_only_s1.log
shield_only,1,target_speed_kmh,15,done,2026-07-01T18:43:21+08:00,2026-07-01T18:54:38+08:00,0,p5_sensitivity_20260701_1825_target_speed_kmh_15_shield_only_s1,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_target_speed_kmh_15_shield_only_s1_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_target_speed_kmh_15_shield_only_s1_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_target_speed_kmh_15_shield_only_s1.log
shield_only,2,ttc_threshold,8,done,2026-07-01T18:45:01+08:00,2026-07-01T18:54:43+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_8_shield_only_s2,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_8_shield_only_s2_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_8_shield_only_s2_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_8_shield_only_s2.log
shield_only,1,target_speed_kmh,18,done,2026-07-01T18:43:41+08:00,2026-07-01T18:55:01+08:00,0,p5_sensitivity_20260701_1825_target_speed_kmh_18_shield_only_s1,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_target_speed_kmh_18_shield_only_s1_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_target_speed_kmh_18_shield_only_s1_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_target_speed_kmh_18_shield_only_s1.log
shield_only,2,target_speed_kmh,22,done,2026-07-01T18:45:51+08:00,2026-07-01T18:55:37+08:00,0,p5_sensitivity_20260701_1825_target_speed_kmh_22_shield_only_s2,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_target_speed_kmh_22_shield_only_s2_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_target_speed_kmh_22_shield_only_s2_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_target_speed_kmh_22_shield_only_s2.log
shield_only,2,ttc_threshold,10,done,2026-07-01T18:45:06+08:00,2026-07-01T18:55:45+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_10_shield_only_s2,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_10_shield_only_s2_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_10_shield_only_s2_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_10_shield_only_s2.log
gated_risk,0,ttc_threshold,6,done,2026-07-01T18:47:06+08:00,2026-07-01T18:55:58+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_6_gated_risk_s0,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_6_gated_risk_s0_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_6_gated_risk_s0_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_6_gated_risk_s0.log
shield_only,2,ttc_threshold,12,done,2026-07-01T18:45:16+08:00,2026-07-01T18:56:19+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_12_shield_only_s2,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_12_shield_only_s2_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_12_shield_only_s2_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_12_shield_only_s2.log
gated_risk,0,ttc_threshold,8,done,2026-07-01T18:47:06+08:00,2026-07-01T18:56:37+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_8_gated_risk_s0,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_8_gated_risk_s0_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_8_gated_risk_s0_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_8_gated_risk_s0.log
