variant,algo,seed,density,episode,reward,shaped_reward,success,collision,out_of_road,cost,mean_speed_kmh,steering_variation,ttc_risk
proposed,ppo,0,0.1,11,218.11886704474477,196.81685576832152,0.0,1.0,0.0,1.0,54.774762285824,0.07083060150034726,0.20452745107142248
proposed,ppo,0,0.1,12,67.66706657243218,65.23721415402619,0.0,0.0,1.0,1.0,36.505306902471965,0.027091733820270747,0.0
proposed,ppo,0,0.1,13,70.41103598011678,67.41457540184945,0.0,0.0,1.0,1.0,35.89078595866519,0.024569435796913612,0.0
proposed,ppo,0,0.1,14,55.492673678291325,53.54402762521071,0.0,0.0,1.0,1.0,34.00675857000706,0.039291328779206824,0.0
proposed,ppo,0,0.1,15,173.86550716114087,160.51131330159402,0.0,1.0,0.0,1.0,54.4390709618718,0.03813170159942117,0.13372131413294291
proposed,ppo,0,0.1,16,147.5806231312345,144.15797426268225,0.0,0.0,1.0,1.0,48.191356485737835,0.05681737613651836,0.0
proposed,ppo,0,0.1,17,109.8600355043534,104.04122087863847,0.0,0.0,1.0,1.0,43.167219015480995,0.05443706592839015,0.06412821839298796
proposed,ppo,0,0.1,18,88.52915285819505,74.16733546772767,0.0,1.0,0.0,1.0,42.591969414551556,0.03701808771613655,0.2546389101850149
proposed,ppo,0,0.1,19,79.28574000096931,76.37992663134585,0.0,0.0,1.0,1.0,38.05196894744182,0.05772051306032553,0.0
proposed,ppo,0,0.25,0,36.76212488993907,27.36468943031969,0.0,1.0,0.0,1.0,27.990538297118473,0.035855203733296585,0.23378211576893815
proposed,ppo,0,0.25,1,69.63644853153856,66.63167968932504,0.0,0.0,1.0,1.0,36.72763814539285,0.026902119347615144,0.0
proposed,ppo,0,0.25,2,86.50948750772449,73.73851223748729,0.0,1.0,0.0,1.0,39.909126546951136,0.06506753413052094,0.20810244249207105
proposed,ppo,0,0.25,3,59.262023872105516,48.785898048686896,0.0,1.0,0.0,1.0,35.36329558280307,0.029958143246431763,0.21424203669720485
