variant	algo	seed	rows	densities	eval_n_envs	train_n_envs	timesteps	horizon	summary	path
proposed	ppo	0	60	0.00,0.10,0.25			100000	800	d0.00:n20:s0.00:c1.00:r0.13 | d0.10:n20:s0.00:c1.00:r0.10 | d0.25:n20:s0.00:c1.00:r0.07	outputs/pilot/evaluations/proposed_ppo_s0.csv
proposed	ppo	0	3	0.00,0.10,0.25			100000	800	d0.00:n1:s0.00:c1.00:r0.13 | d0.10:n1:s0.00:c1.00:r0.10 | d0.25:n1:s0.00:c1.00:r0.07	outputs/pilot/evaluations/summary.csv
proposed	ppo	0	6	0.00,0.10,0.25			2048	150	d0.00:n2:s0.00:c1.00:r0.07 | d0.10:n2:s0.00:c1.00:r0.07 | d0.25:n2:s0.00:c1.00:r0.07	outputs/smoke/evaluations/proposed_ppo_s0.csv
proposed	ppo	0	150	0.00,0.08,0.15			100000	1000	d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.74:c0.10:r0.92 | d0.15:n50:s0.48:c0.42:r0.76	outputs/stage1000_final_candidate/evaluations/proposed_ppo_s0.csv
proposed	ppo	0	3	0.00,0.08,0.15			100000	1000	d0.00:n1:s0.84:c0.00:r0.97 | d0.08:n1:s0.74:c0.10:r0.92 | d0.15:n1:s0.48:c0.42:r0.76	outputs/stage1000_final_candidate/evaluations/summary.csv
proposed	ppo	0	150	0.00,0.08,0.15		2	1000000	1200	d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.78:c0.06:r0.95 | d0.15:n50:s0.42:c0.50:r0.72	outputs/stage1000_true_proposed_s0/evaluations/proposed_ppo_s0.csv
proposed	ppo	0	3	0.00,0.08,0.15		2	1000000	1200	d0.00:n1:s0.84:c0.00:r0.97 | d0.08:n1:s0.78:c0.06:r0.95 | d0.15:n1:s0.42:c0.50:r0.72	outputs/stage1000_true_proposed_s0/evaluations/summary.csv
proposed	ppo	0	150	0.00,0.08,0.15		4	600000	1000	d0.00:n50:s0.52:c0.00:r0.93 | d0.08:n50:s0.42:c0.18:r0.86 | d0.15:n50:s0.22:c0.68:r0.61	outputs/stage600_nenv4_guarded/evaluations/proposed_ppo_s0.csv
proposed	ppo	0	3	0.00,0.08,0.15		4	600000	1000	d0.00:n1:s0.52:c0.00:r0.93 | d0.08:n1:s0.42:c0.18:r0.86 | d0.15:n1:s0.22:c0.68:r0.61	outputs/stage600_nenv4_guarded/evaluations/summary.csv
proposed	ppo	0	60	0.00,0.10,0.25			100000	1000	d0.00:n20:s0.05:c0.95:rna | d0.10:n20:s0.00:c1.00:rna | d0.25:n20:s0.00:c1.00:rna	outputs/tuned_evaluations/proposed_ppo_s0.csv
