label	train_seed	test_start_seed	densities	status	start	end	eval_csv	log	config_json	model	source_run
guard_only	2	30000	0.08 0.15	ok	2026-07-01T05:02:14+08:00	2026-07-01T05:04:23+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_30000/guard_only_ppo_s2.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/guard_only_s2_test30000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/guard_only_s2_test30000.json	outputs/tuned_ablation_guard_only_nenv16_seed2_1m/runs/guard_only_ppo_s2/model/final_model.zip	outputs/tuned_ablation_guard_only_nenv16_seed2_1m/runs/guard_only_ppo_s2
shield_only	0	30000	0.08 0.15	ok	2026-07-01T05:04:23+08:00	2026-07-01T05:06:28+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_30000/shield_only_ppo_s0.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/shield_only_s0_test30000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/shield_only_s0_test30000.json	outputs/tuned_compare_shield_only_nenv16_seed0_1m/runs/shield_only_ppo_s0/model/final_model.zip	outputs/tuned_compare_shield_only_nenv16_seed0_1m/runs/shield_only_ppo_s0
shield_only	1	30000	0.08 0.15	ok	2026-07-01T05:06:28+08:00	2026-07-01T05:08:35+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_30000/shield_only_ppo_s1.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/shield_only_s1_test30000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/shield_only_s1_test30000.json	outputs/tuned_compare_shield_only_nenv16_seed1_1m/runs/shield_only_ppo_s1/model/final_model.zip	outputs/tuned_compare_shield_only_nenv16_seed1_1m/runs/shield_only_ppo_s1
shield_only	2	30000	0.08 0.15	ok	2026-07-01T05:08:35+08:00	2026-07-01T05:10:43+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_30000/shield_only_ppo_s2.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/shield_only_s2_test30000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/shield_only_s2_test30000.json	outputs/tuned_compare_shield_only_nenv16_seed2_1m/runs/shield_only_ppo_s2/model/final_model.zip	outputs/tuned_compare_shield_only_nenv16_seed2_1m/runs/shield_only_ppo_s2
retuned_full	0	30000	0.08 0.15	ok	2026-07-01T05:10:43+08:00	2026-07-01T05:12:50+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_30000/retuned_full_ppo_s0.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/retuned_full_s0_test30000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/retuned_full_s0_test30000.json	outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip	outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0
retuned_full	1	30000	0.08 0.15	ok	2026-07-01T05:12:50+08:00	2026-07-01T05:14:51+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_30000/retuned_full_ppo_s1.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/retuned_full_s1_test30000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/retuned_full_s1_test30000.json	outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed1_1m/runs/proposed_ppo_s1/model/final_model.zip	outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed1_1m/runs/proposed_ppo_s1
retuned_full	2	30000	0.08 0.15	ok	2026-07-01T05:14:51+08:00	2026-07-01T05:16:43+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_30000/retuned_full_ppo_s2.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/retuned_full_s2_test30000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/retuned_full_s2_test30000.json	outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip	outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2
proposed_gated_risk	0	30000	0.08 0.15	ok	2026-07-01T05:16:43+08:00	2026-07-01T05:18:51+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_30000/proposed_gated_risk_ppo_s0.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/proposed_gated_risk_s0_test30000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/proposed_gated_risk_s0_test30000.json	outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/model/final_model.zip	outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0
proposed_gated_risk	1	30000	0.08 0.15	ok	2026-07-01T05:18:51+08:00	2026-07-01T05:21:02+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_30000/proposed_gated_risk_ppo_s1.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/proposed_gated_risk_s1_test30000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/proposed_gated_risk_s1_test30000.json	outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/model/final_model.zip	outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1
proposed_gated_risk	2	30000	0.08 0.15	ok	2026-07-01T05:21:03+08:00	2026-07-01T05:23:13+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_30000/proposed_gated_risk_ppo_s2.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/proposed_gated_risk_s2_test30000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/proposed_gated_risk_s2_test30000.json	outputs/gated_risk_proposed_nenv16_seed2_1m/runs/proposed_gated_risk_ppo_s2/model/final_model.zip	outputs/gated_risk_proposed_nenv16_seed2_1m/runs/proposed_gated_risk_ppo_s2
risk_only	0	30000	0.08 0.15	ok	2026-07-01T05:23:13+08:00	2026-07-01T05:24:53+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_30000/risk_only_ppo_s0.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/risk_only_s0_test30000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/risk_only_s0_test30000.json	outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/model/final_model.zip	outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0
risk_only	1	30000	0.08 0.15	ok	2026-07-01T05:24:54+08:00	2026-07-01T05:26:36+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_30000/risk_only_ppo_s1.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/risk_only_s1_test30000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/risk_only_s1_test30000.json	outputs/tuned_compare_risk_nenv16_seed1_1m/runs/risk_ppo_s1/model/final_model.zip	outputs/tuned_compare_risk_nenv16_seed1_1m/runs/risk_ppo_s1
risk_only	2	30000	0.08 0.15	ok	2026-07-01T05:26:36+08:00	2026-07-01T05:28:17+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_30000/risk_only_ppo_s2.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/risk_only_s2_test30000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/risk_only_s2_test30000.json	outputs/tuned_compare_risk_nenv16_seed2_1m/runs/risk_ppo_s2/model/final_model.zip	outputs/tuned_compare_risk_nenv16_seed2_1m/runs/risk_ppo_s2
no_action_guard	0	30000	0.08 0.15	ok	2026-07-01T05:28:17+08:00	2026-07-01T05:28:59+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_30000/no_action_guard_ppo_s0.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/no_action_guard_s0_test30000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/no_action_guard_s0_test30000.json	outputs/tuned_ablation_no_action_guard_nenv16_seed0_1m/runs/no_action_guard_ppo_s0/model/final_model.zip	outputs/tuned_ablation_no_action_guard_nenv16_seed0_1m/runs/no_action_guard_ppo_s0
no_action_guard	1	30000	0.08 0.15	ok	2026-07-01T05:28:59+08:00	2026-07-01T05:29:35+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_30000/no_action_guard_ppo_s1.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/no_action_guard_s1_test30000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/no_action_guard_s1_test30000.json	outputs/tuned_ablation_no_action_guard_nenv16_seed1_1m/runs/no_action_guard_ppo_s1/model/final_model.zip	outputs/tuned_ablation_no_action_guard_nenv16_seed1_1m/runs/no_action_guard_ppo_s1
no_action_guard	2	30000	0.08 0.15	ok	2026-07-01T05:29:35+08:00	2026-07-01T05:30:09+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_30000/no_action_guard_ppo_s2.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/no_action_guard_s2_test30000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/no_action_guard_s2_test30000.json	outputs/tuned_ablation_no_action_guard_nenv16_seed2_1m/runs/no_action_guard_ppo_s2/model/final_model.zip	outputs/tuned_ablation_no_action_guard_nenv16_seed2_1m/runs/no_action_guard_ppo_s2
