variant,algo,seed,density,protocol_class,success,route_completion,collision,out_of_road,cost,reward,shaped_reward,episode_length,mean_speed_kmh,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,episode_count,source_csv,run_dir,config_json,model_path
defensive_proposed,ppo,1,0.08,preliminary,0.77,0.924143356938936,0.1,0.0,0.1,515.6729061660724,284.86263793055053,1077.92,17.971418126233168,,,,,100,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_shield_screen/evaluations/s1_defensive_ttc10_v16.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_shield_screen/evaluations/s1_defensive_ttc10_v18.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_shield_screen/evaluations/s1_defensive_ttc12_v18.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_shield_screen/evaluations/s1_defensive_ttc8_v18.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_shield_screen/evaluations/s1_defensive_ttc8_v20.csv,,,
defensive_proposed,ppo,1,0.15,preliminary,0.59,0.8302083890432408,0.2,0.03,0.23,404.4348104388015,103.01912484753986,1121.72,15.403574533218764,,,,,100,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_shield_screen/evaluations/s1_defensive_ttc10_v16.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_shield_screen/evaluations/s1_defensive_ttc10_v18.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_shield_screen/evaluations/s1_defensive_ttc12_v18.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_shield_screen/evaluations/s1_defensive_ttc8_v18.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_shield_screen/evaluations/s1_defensive_ttc8_v20.csv,,,
defensive_proposed,ppo,20,0.0,inconsistent_protocol,0.92,0.987879518168942,0.0,0.0,0.0,421.45908551287846,230.74004593274708,1096.78,18.31225646010478,,,,,50,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/evaluations/defensive_proposed_ppo_s20.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/runs/defensive_proposed_ppo_s20,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/runs/defensive_proposed_ppo_s20/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/runs/defensive_proposed_ppo_s20/model/final_model.zip
defensive_proposed,ppo,20,0.08,inconsistent_protocol,0.8,0.9112020718601803,0.14,0.0,0.14,384.7710495602749,151.9862883845835,1018.7,18.00831112173656,,,,,50,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/evaluations/defensive_proposed_ppo_s20.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/runs/defensive_proposed_ppo_s20,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/runs/defensive_proposed_ppo_s20/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/runs/defensive_proposed_ppo_s20/model/final_model.zip
defensive_proposed,ppo,20,0.15,inconsistent_protocol,0.52,0.7832800182634291,0.36,0.02,0.38,291.8695059737892,-183.7317043899466,1006.44,15.86464908762413,,,,,50,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/evaluations/defensive_proposed_ppo_s20.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/runs/defensive_proposed_ppo_s20,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/runs/defensive_proposed_ppo_s20/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/runs/defensive_proposed_ppo_s20/model/final_model.zip
defensive_proposed,ppo,21,0.0,inconsistent_protocol,0.92,0.9880258286699671,0.0,0.0,0.0,541.3799041411298,345.7002482992276,1096.0,18.310798400602124,,,,,50,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/evaluations/defensive_proposed_ppo_s21.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/runs/defensive_proposed_ppo_s21,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/runs/defensive_proposed_ppo_s21/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/runs/defensive_proposed_ppo_s21/model/final_model.zip
defensive_proposed,ppo,21,0.08,inconsistent_protocol,0.86,0.9676313459313038,0.06,0.0,0.06,508.1264612476735,296.31151496998297,1084.88,18.135946627560074,,,,,50,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/evaluations/defensive_proposed_ppo_s21.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/runs/defensive_proposed_ppo_s21,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/runs/defensive_proposed_ppo_s21/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/runs/defensive_proposed_ppo_s21/model/final_model.zip
defensive_proposed,ppo,21,0.15,inconsistent_protocol,0.64,0.8472518623090568,0.32,0.0,0.32,386.0958228853075,95.13510318608348,1024.36,16.501771134564837,,,,,50,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/evaluations/defensive_proposed_ppo_s21.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/runs/defensive_proposed_ppo_s21,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/runs/defensive_proposed_ppo_s21/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_s20s21_nenv32/runs/defensive_proposed_ppo_s21/model/final_model.zip
defensive_proposed,ppo,22,0.0,inconsistent_protocol,0.92,0.9877881349963902,0.0,0.0,0.0,505.46531707056596,315.2360853001365,1097.68,18.286607695697995,,,,,50,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/evaluations/defensive_proposed_ppo_s22.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/runs/defensive_proposed_ppo_s22,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/runs/defensive_proposed_ppo_s22/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/runs/defensive_proposed_ppo_s22/model/final_model.zip
defensive_proposed,ppo,22,0.08,inconsistent_protocol,0.86,0.9541990341251061,0.04,0.0,0.04,467.0438730220379,191.55619097752012,1099.24,17.734288925876992,,,,,50,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/evaluations/defensive_proposed_ppo_s22.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/runs/defensive_proposed_ppo_s22,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/runs/defensive_proposed_ppo_s22/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/runs/defensive_proposed_ppo_s22/model/final_model.zip
defensive_proposed,ppo,22,0.15,inconsistent_protocol,0.5,0.8018266070895719,0.28,0.08,0.36,308.6477909648395,-169.7746740883068,1021.26,15.79800587620298,,,,,50,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/evaluations/defensive_proposed_ppo_s22.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/runs/defensive_proposed_ppo_s22,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/runs/defensive_proposed_ppo_s22/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/runs/defensive_proposed_ppo_s22/model/final_model.zip
defensive_proposed,ppo,23,0.0,inconsistent_protocol,0.92,0.9878489618262453,0.0,0.0,0.0,498.59240726415584,311.560239634172,1096.88,18.310163602553818,,,,,50,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/evaluations/defensive_proposed_ppo_s23.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/runs/defensive_proposed_ppo_s23,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/runs/defensive_proposed_ppo_s23/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/runs/defensive_proposed_ppo_s23/model/final_model.zip
defensive_proposed,ppo,23,0.08,inconsistent_protocol,0.82,0.9389474430394458,0.08,0.02,0.1,479.82508362105057,265.9625318445182,1058.04,18.028339239374993,,,,,50,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/evaluations/defensive_proposed_ppo_s23.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/runs/defensive_proposed_ppo_s23,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/runs/defensive_proposed_ppo_s23/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/runs/defensive_proposed_ppo_s23/model/final_model.zip
defensive_proposed,ppo,23,0.15,inconsistent_protocol,0.58,0.8380226771002093,0.28,0.06,0.34,410.4479366462729,91.35608369182256,1039.02,16.238301548795437,,,,,50,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/evaluations/defensive_proposed_ppo_s23.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/runs/defensive_proposed_ppo_s23,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/runs/defensive_proposed_ppo_s23/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_proposed_ttc10v18_s22s23_nenv32/runs/defensive_proposed_ppo_s23/model/final_model.zip
