#{"t_start": 1782899345.2538424, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,episode_risk_gate_rate,episode_continuous_risk_penalty,episode_event_risk_penalty,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,episode_rcpo_cost_lambda,curriculum_stage
14.24563,600,46.647663,0.0,0.0,25.731456863609253,14.245629718984718,0.0,0.0,0.0,0.0,0.4326633762393373,600,2.9821341581940257,0.5958057916890949,2.0,0.7986706616729498,0.5758355162044366,0.47256412982940676,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,200.0,0.0
10.454559,600,50.53864,0.0,0.0,24.146625333511835,10.45455911305072,0.0,0.0,0.0,0.0,0.3727082148764936,600,2.52609132272506,0.377871136308233,0.9965140111495753,0.8303789303575952,0.6016569695870082,0.4582856850822767,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,200.0,0.0
0.128663,600,53.082066,0.0,0.0,9.82601804338947,0.1286627191312451,0.0,0.0,0.0,0.0,0.33552178991455034,600,2.212074180319906,1.2147156566086446,2.0,0.807613510346661,0.6218584688007831,0.48502107873558997,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,200.0,0.0
-201.899113,403,55.920578,0.0,1.0,-1.3948464721507357,-201.89911295986,0.0,0.0,0.0,1.0,0.23494367587384649,403,2.5783932794200584,1.1098637118945938,2.0,0.7703782280458706,0.6178302436549373,0.5345194907697199,0.0,nan,0.0024813895781637717,0.0,200.0,0,0,0,0,0.0,0.0,0.0,0.0,200.0,0.0
-1.465802,600,58.390064,0.0,0.0,6.119054063293207,-1.4658023147388197,0.0,0.0,0.0,0.0,0.38248902178715266,600,2.05789074610912,1.4335527002487856,2.0,0.8169249222924312,0.6246043161551158,0.5144270380338033,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,195.0,0.0
6.189665,600,62.091416,0.0,0.0,23.12889126420393,6.189664682811332,0.0,0.0,0.0,0.0,0.3308406350236443,600,2.263242538227506,0.40680743459031476,0.8879019504757902,0.8423118585534394,0.6188007119297981,0.5127972623705864,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,197.0,0.0
1.326203,600,65.790148,0.0,0.0,19.721992129055632,1.3262033837533511,0.0,0.0,0.0,0.0,0.293840243974185,600,2.0278266738489084,0.4187195313716016,1.1353781917246313,0.8514203776636471,0.6471303527057171,0.5278324443101883,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,189.75,0.0
-172.507169,595,68.272066,0.0,1.0,6.232569843009145,-172.50716868487584,0.0,0.0,0.0,1.0,0.4008848797873202,595,2.5057367456942883,1.1550278308562678,2.0,0.8165939976688192,0.6027789528630361,0.4971330260028358,0.0,nan,0.0016806722689075631,0.0,174.25,0,0,0,0,0.0,0.0,0.0,0.0,174.25,0.0
-0.234697,600,72.011334,0.0,0.0,10.112672716925504,-0.23469655947748494,0.0,0.0,0.0,0.0,0.3202989027353257,600,2.228978816961859,1.244472073153923,2.0,0.8136307056993246,0.6548591272036235,0.5428546701868375,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,173.5,0.0
-170.35538,317,73.428158,0.0,1.0,5.0330481442565915,-170.3553803309821,0.0,0.0,0.0,1.0,0.22760318656298642,317,2.9183807503369876,0.3980915918245912,1.030197101605755,0.7769551549594532,0.574172110211586,0.49138417868208056,0.0,nan,0.0031545741324921135,0.0,174.0,0,0,0,0,0.0,0.0,0.0,0.0,174.0,0.0
