#{"t_start": 1779897622.2829595, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_collision,episode_out_of_road,episode_mean_speed,episode_steering_variation,episode_ttc_risk,curriculum_stage
59.999404,371,63.881541,0.0,1.0,82.78227365544242,0.0,1.0,8.78176308876414,0.8446586944484165,0.0,2.0
8.741985,169,64.840568,0.0,1.0,17.25841881706965,0.0,1.0,8.239592660876884,0.8620261912559264,0.0,2.0
4.973932,61,65.091563,0.0,1.0,7.100544299342895,0.0,1.0,8.857622256079685,0.7409299665787181,0.0,2.0
-4.354077,35,65.31818,0.0,1.0,-2.714489793027157,0.0,1.0,5.152405732759003,0.750329516189439,0.0,2.0
131.769604,742,67.695584,0.0,1.0,175.1380835483004,0.0,1.0,9.321516483658215,0.8152005073195198,0.0112277606928083,2.0
-1.599382,60,68.026501,0.0,1.0,0.993415414683696,0.0,1.0,7.575292485329401,0.9678219676017761,0.0,2.0
88.325464,543,70.42972,0.0,1.0,112.4346824812561,0.0,1.0,8.258931962192822,0.8273159625252252,0.0,2.0
81.133019,573,73.348608,0.0,1.0,108.19836624565536,0.0,1.0,9.93901068947034,0.7707128447803944,0.0,2.0
6.056078,74,73.782514,0.0,1.0,8.276984003772291,0.0,1.0,8.205828092220203,0.6857610918782853,0.0,2.0
75.167017,548,76.109374,0.0,1.0,104.72973231781329,0.0,1.0,9.083755856280035,0.83517218668041,0.0,2.0
22.603693,172,76.779581,0.0,1.0,27.1333856042462,0.0,1.0,7.747885436320701,0.8741609830149385,0.0,2.0
47.793979,280,78.053463,0.0,1.0,56.831621246060365,0.0,1.0,10.411127915193045,0.7879226927379412,0.0,2.0
64.132264,438,79.540017,0.0,1.0,91.99849464982792,0.0,1.0,9.594818570866726,0.7946278808221697,0.027752038575098305,2.0
16.50959,115,80.101433,0.0,1.0,19.12127189880717,0.0,1.0,8.876342940297121,0.7408117281353992,0.0,2.0
-3.543723,38,80.396271,0.0,1.0,-1.9119457050016089,0.0,1.0,5.862240395244804,0.7585454324358388,0.0,2.0
37.023017,193,81.047292,0.0,1.0,49.001227052876466,0.0,1.0,11.071889991944218,0.7763057661102843,0.0,2.0
