variant,reference,seed,density,variant_success,reference_success,delta_success,variant_cost,reference_cost,delta_cost,variant_route_completion,reference_route_completion,delta_route_completion,variant_collision,reference_collision,delta_collision,variant_out_of_road,reference_out_of_road,delta_out_of_road
proposed_gated_risk,guard_only,2,0.15,0.56,0.62,-0.05999999999999994,0.28,0.24,0.040000000000000036,0.8368030516365345,0.8468089572664755,-0.010005905629941081,0.28,0.24,0.040000000000000036,0.0,0.0,0.0
proposed_gated_risk,shield_only,0,0.0,0.94,1.0,-0.06000000000000005,0.0,0.0,0.0,0.9883276821640066,0.991698503827454,-0.0033708216634473764,0.0,0.0,0.0,0.0,0.0,0.0
proposed_gated_risk,shield_only,0,0.08,0.9,0.96,-0.05999999999999994,0.08,0.04,0.04,0.9640703062408036,0.974898512908048,-0.010828206667244378,0.08,0.02,0.06,0.0,0.02,-0.02
proposed_gated_risk,shield_only,0,0.15,0.62,0.56,0.05999999999999994,0.2,0.32,-0.12,0.8620457970329632,0.8329387441428554,0.029107052890107843,0.2,0.32,-0.12,0.0,0.0,0.0
proposed_gated_risk,shield_only,1,0.0,0.94,0.98,-0.040000000000000036,0.0,0.0,0.0,0.9847053071354849,0.9909441175631433,-0.006238810427658392,0.0,0.0,0.0,0.0,0.0,0.0
proposed_gated_risk,shield_only,1,0.08,0.8,0.92,-0.12,0.1,0.08,0.020000000000000004,0.9548823252510197,0.944374123457865,0.010508201793154703,0.1,0.06,0.04000000000000001,0.0,0.02,-0.02
proposed_gated_risk,shield_only,1,0.15,0.62,0.56,0.05999999999999994,0.28,0.22,0.060000000000000026,0.8494861852986025,0.8670118010335814,-0.017525615734978905,0.28,0.22,0.060000000000000026,0.0,0.0,0.0
proposed_gated_risk,shield_only,2,0.0,0.94,1.0,-0.06000000000000005,0.0,0.0,0.0,0.9896658007302661,0.9922415703041966,-0.0025757695739304642,0.0,0.0,0.0,0.0,0.0,0.0
proposed_gated_risk,shield_only,2,0.08,0.9,0.86,0.040000000000000036,0.06,0.08,-0.020000000000000004,0.9628669005110695,0.9584637369230197,0.004403163588049819,0.06,0.06,0.0,0.0,0.02,-0.02
proposed_gated_risk,shield_only,2,0.15,0.56,0.76,-0.19999999999999996,0.28,0.14,0.14,0.8368030516365345,0.9132135143279725,-0.07641046269143803,0.28,0.14,0.14,0.0,0.0,0.0
