label,train_seed,density,episodes,success,cost,route_completion,collision,out_of_road,mean_speed_kmh,stop_ratio,low_progress,ttc_dangerous_fraction,intervention_rate_per_100_steps
guard_only,0,0.25,40,0.225,0.6,0.6151076810422056,0.525,0.075,11.809161022179532,0.07908257952538053,0.1,0.08081167850898888,51.931376012322474
guard_only,1,0.08,40,0.825,0.075,0.962484282800029,0.025,0.05,17.89774702578032,0.004960760877874405,0.0,0.1895985471029502,84.02224186142767
guard_only,1,0.15,40,0.6,0.15,0.8695936055589565,0.125,0.025,15.83013074444336,0.024613040351031366,0.0,0.1471256830444991,69.46838016741582
guard_only,1,0.2,40,0.55,0.175,0.7922453020174556,0.175,0.0,13.808400353647418,0.04436636149221737,0.025,0.07719855500215865,58.39823199828131
guard_only,1,0.25,40,0.3,0.4,0.6280524926707459,0.375,0.025,11.29086022234183,0.08791535760741129,0.025,0.051877919180035446,48.81486880570587
guard_only,2,0.08,40,0.85,0.05,0.9635423979426664,0.05,0.0,18.0048279823899,0.003896356996318695,0.0,0.10140179194033354,84.6576602547291
guard_only,2,0.15,40,0.6,0.175,0.8669410852313032,0.175,0.0,15.663734121860822,0.025829582846912696,0.0,0.09117718213397344,69.12732917253774
guard_only,2,0.2,40,0.5,0.35,0.7594721521222937,0.35,0.0,13.568217008294786,0.046148936087802774,0.05,0.08928340343804587,58.521057461365935
guard_only,2,0.25,40,0.375,0.3,0.680566055811876,0.3,0.0,11.887050149543652,0.07353557352134656,0.0,0.09036021569764341,51.1261376880584
no_action_guard,0,0.08,40,0.075,0.925,0.3738444174678976,0.35,0.575,36.33869124896073,0.000978251798693455,0.375,0.3468871115991018,0.0
no_action_guard,0,0.15,40,0.0,1.0,0.2314133000097364,0.55,0.45,35.290119405879054,0.00109631476076505,0.5,0.45762549925966783,0.0
no_action_guard,0,0.2,40,0.0,1.0,0.23502485684623822,0.7,0.3,32.79223013893393,0.0015096767263800776,0.525,0.5384122678622307,0.0
no_action_guard,0,0.25,40,0.0,1.0,0.18138129834897967,0.7,0.3,31.571480649770375,0.0014049027830669925,0.65,0.5859898566685422,0.0
no_action_guard,1,0.08,40,0.0,1.0,0.2532532091360705,0.4,0.6,41.29117972911408,0.0010381276553951776,0.425,0.37134149282679185,0.0
no_action_guard,1,0.15,40,0.0,1.0,0.21079686414826804,0.575,0.425,37.48887371249589,0.0019849584648255676,0.575,0.5632473876578844,0.0
no_action_guard,1,0.2,40,0.0,1.0,0.19632523586368006,0.725,0.275,35.47476597912113,0.0015408137636120302,0.675,0.44969385857764815,0.0
no_action_guard,1,0.25,40,0.0,1.0,0.16010047525042295,0.725,0.275,34.86553194688512,0.000971293739366025,0.825,0.5927121809757866,0.0
no_action_guard,2,0.08,40,0.0,1.0,0.23277525842114288,0.325,0.675,40.88788696308017,0.002150477753591455,0.5,0.4942201625632129,0.0
no_action_guard,2,0.15,40,0.025,1.0,0.20956099809033607,0.475,0.525,37.71715242318127,0.0028051821316015376,0.6,0.43973124553512805,0.0
no_action_guard,2,0.2,40,0.0,1.0,0.17877743237328025,0.55,0.45,36.01027524761754,0.0027703452707536027,0.8,0.5270430982038756,0.0
no_action_guard,2,0.25,40,0.0,1.0,0.16292058234122644,0.65,0.35,35.27040784350047,0.002571738477492985,0.725,0.5530072746479555,0.0
risk_only,0,0.08,40,0.0,0.0,0.008990186971405748,0.0,0.0,0.013309081594119842,1.0,1.0,0.0,0.0
risk_only,0,0.15,40,0.0,0.0,0.008989992797395405,0.0,0.0,0.013424013509775273,1.0,1.0,0.0,0.0
risk_only,0,0.2,40,0.0,0.0,0.008989723908109143,0.0,0.0,0.013512041763399396,1.0,1.0,0.0,0.0
risk_only,0,0.25,40,0.0,0.0,0.008989541603881948,0.0,0.0,0.013587225399842095,1.0,1.0,0.0,0.0
risk_only,1,0.08,40,0.0,0.0,0.008990056415655555,0.0,0.0,0.01335187171372399,1.0,1.0,0.0,0.0
risk_only,1,0.15,40,0.0,0.0,0.008989754888489446,0.0,0.0,0.013538425904385355,1.0,1.0,0.0,0.0
risk_only,1,0.2,40,0.0,0.0,0.0089896258472757,0.0,0.0,0.013598683554978975,1.0,1.0,0.0,0.0
risk_only,1,0.25,40,0.0,0.0,0.008989663818248117,0.0,0.0,0.013631801491022139,1.0,1.0,0.0,0.0
